Date,Strategy
2024-12-23,0.006119952192020402
2024-12-30,0.013997173454572851
2025-01-06,-0.004717994036622356
2025-01-13,0.030060262494498186
2025-01-20,0.007809213041160593
2025-01-27,-0.019310554523432517
2025-02-03,0.005403390520634506
2025-02-10,0.01220981018563442
2025-02-17,-0.00014923402813145782
2025-02-24,-0.007307927254646646
2025-03-03,-0.022624795081921795
2025-03-10,-0.007846231613625151
2025-03-17,0.014121656384858811
2025-03-24,-0.016862743346057935
2025-03-31,-0.10545048597827773
2025-04-07,0.03367601536283711
2025-04-14,-0.0015589362605715382
2025-04-21,0.036918049006335586
2025-04-28,0.012515689504073557
2025-05-05,-0.010723202258678954
2025-05-12,0.03984966189740535
2025-05-19,-0.03196337496640944
2025-05-26,0.01003752743918751
2025-06-02,0.022813650630574573
2025-06-09,0.024216395674545144
2025-06-16,0.003381483390043072
