,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
Strategy,0.012884279963773837,0.25743123688666286,-0.027856379809709016,-0.19178089898948472
SPY,0.03916709438051069,0.22561532326493883,0.08244714967821949,-0.16877155320645437
